127.0.0.1 - - [05/Apr/2023:15:53:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:20 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:25 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:25 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:29 +0900] "GET /controller/ HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:53:31 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7095
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:58:50 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7824
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:58:50 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:58:51 +0900] "POST /controller/memRegister.do HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:58:54 +0900] "GET /controller/memRegisterCheck.do?memID= HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:03:29 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7908
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:03:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:04:00 +0900] "POST /controller/memRegister.do HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:04:44 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7908
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:04:44 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:04:46 +0900] "POST /controller/memRegister.do HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:04:59 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7908
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:05:42 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:05:42 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7955
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:06:34 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7948
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:06:34 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:07:09 +0900] "GET /controller/memRegisterCheck.do?memID=2121 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:07:18 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:07:18 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:06 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7948
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:06 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:08 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:08 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:11 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:11 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:16 +0900] "GET /controller/memRegisterCheck.do?memID=11 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:24 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:12:24 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:13:26 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:13:43 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:13:50 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:13:50 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:14:50 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:14:50 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:14:52 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:15:00 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:15:00 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:15:05 +0900] "POST /controller/memRegister.do HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:26 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 8214
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:26 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:28 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:37 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:37 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:18:56 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:19:06 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:19:06 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:32 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 8214
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:33 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:39 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:39 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:49 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:21:49 +0900] "GET /controller/memJoin.do HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:22:50 +0900] "GET /controller/memRegisterCheck.do?memID=aaa123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:22:55 +0900] "GET /controller/memRegisterCheck.do?memID=kim123 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Apr/2023:16:23:02 +0900] "POST /controller/memRegister.do HTTP/1.1" 302 -
