127.0.0.1 - - [08/Apr/2023:16:05:21 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:05:22 +0900] "GET /controller/ HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:05:22 +0900] "GET /controller/resources/images/main.png HTTP/1.1" 200 91155
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:05:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:14:35 +0900] "GET /controller/boardMain.do HTTP/1.1" 200 8116
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:14:35 +0900] "GET /controller/board/all HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:14:37 +0900] "GET /controller/ HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:14:37 +0900] "GET /controller/ HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:15:42 +0900] "GET /controller/memLoginForm.do HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:15:49 +0900] "POST /controller/memLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:15:49 +0900] "GET /controller/ HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:15:55 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:20 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:20 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:28 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:28 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:33 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:16:33 +0900] "GET /controller/ HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:17:31 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 6722
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:17:41 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:17:41 +0900] "GET /controller/ HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:17:45 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:18:19 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:18:19 +0900] "GET /controller/ HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:18:22 +0900] "GET /controller/memUpdateForm.do HTTP/1.1" 200 6724
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:18:39 +0900] "POST /controller/memUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:18:39 +0900] "GET /controller/ HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:50:55 +0900] "GET /controller/ HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:50:55 +0900] "GET /controller/resources/images/main.png HTTP/1.1" 200 91155
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:50:55 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:26 +0900] "GET /controller/ HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:26 +0900] "GET /controller/resources/images/main.png HTTP/1.1" 200 91155
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:26 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:27 +0900] "GET /controller/ HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:27 +0900] "GET /controller/resources/images/main.png HTTP/1.1" 200 91155
0:0:0:0:0:0:0:1 - - [08/Apr/2023:16:51:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
